,GEOID,price_$,price_$$,price_$$$,price_$$$$,MISSING,Geography,Households,pct_0-25k,pct_25k-50k,pct_50k-75k,pct_75k-100k,pct_100k-125k,pct_125k-150k,pct_> 150k,num_0-25k,num_25k-50k,num_50k-75k,num_75k-100k,num_100k-125k,num_125k-150k,num_> 150k
59,36047010000,8,2,0,0,9,"Census Tract 100, Kings County, New York",1708,0.33799999999999997,0.21100000000000002,0.163,0.158,0.044000000000000004,0.03,0.055999999999999994,577.304,360.38800000000003,278.404,269.864,75.152,51.239999999999995,95.648
60,36047010100,8,2,0,0,4,"Census Tract 101, Kings County, New York",1457,0.195,0.2,0.166,0.18100000000000002,0.111,0.026000000000000002,0.12,284.115,291.40000000000003,241.86200000000002,263.71700000000004,161.727,37.882000000000005,174.84
61,36047010200,5,3,0,0,4,"Census Tract 102, Kings County, New York",1304,0.205,0.27899999999999997,0.225,0.14300000000000002,0.064,0.051,0.035,267.32,363.816,293.40000000000003,186.472,83.456,66.50399999999999,45.64000000000001
62,36047010400,22,10,0,0,16,"Census Tract 104, Kings County, New York",1586,0.255,0.314,0.152,0.08800000000000001,0.073,0.061,0.057,404.43,498.004,241.072,139.568,115.77799999999999,96.746,90.402
63,36047010600,7,8,0,0,5,"Census Tract 106, Kings County, New York",1315,0.313,0.252,0.177,0.152,0.062,0.013999999999999999,0.03,411.595,331.38,232.755,199.88,81.53,18.409999999999997,39.449999999999996
64,36047010800,12,8,1,0,8,"Census Tract 108, Kings County, New York",1353,0.345,0.314,0.155,0.083,0.047,0.016,0.040999999999999995,466.78499999999997,424.842,209.715,112.299,63.591,21.648,55.47299999999999
65,36047011000,1,0,0,0,3,"Census Tract 110, Kings County, New York",627,0.276,0.177,0.214,0.12300000000000001,0.057,0.046,0.107,173.05200000000002,110.979,134.178,77.12100000000001,35.739000000000004,28.842,67.089
66,36047011200,4,1,0,0,0,"Census Tract 112, Kings County, New York",1983,0.39899999999999997,0.314,0.098,0.069,0.061,0.013999999999999999,0.044000000000000004,791.217,622.662,194.334,136.827,120.963,27.761999999999997,87.25200000000001
67,36047011400,6,1,0,0,2,"Census Tract 114, Kings County, New York",1126,0.24100000000000002,0.36200000000000004,0.131,0.111,0.096,0.0,0.06,271.36600000000004,407.612,147.506,124.986,108.096,0.0,67.56
68,36047011600,1,1,1,0,2,"Census Tract 116, Kings County, New York",1076,0.302,0.303,0.147,0.12300000000000001,0.031,0.077,0.018000000000000002,324.952,326.02799999999996,158.172,132.348,33.356,82.852,19.368000000000002
69,36047011700,5,2,0,0,2,"Census Tract 117, Kings County, New York",1231,0.11900000000000001,0.115,0.139,0.20199999999999999,0.128,0.045,0.252,146.489,141.565,171.109,248.66199999999998,157.568,55.394999999999996,310.212
70,36047011800,5,9,1,0,11,"Census Tract 118, Kings County, New York",577,0.366,0.293,0.11599999999999999,0.078,0.062,0.01,0.075,211.182,169.06099999999998,66.932,45.006,35.774,5.7700000000000005,43.275
71,36047011900,3,12,3,1,7,"Census Tract 119, Kings County, New York",653,0.124,0.10400000000000001,0.168,0.175,0.086,0.07400000000000001,0.27,80.972,67.912,109.70400000000001,114.27499999999999,56.157999999999994,48.32200000000001,176.31
72,36047012000,8,8,1,0,5,"Census Tract 120, Kings County, New York",323,0.359,0.207,0.17300000000000001,0.099,0.037000000000000005,0.009000000000000001,0.115,115.957,66.86099999999999,55.879000000000005,31.977,11.951000000000002,2.9070000000000005,37.145
73,36047012100,1,5,0,0,5,"Census Tract 121, Kings County, New York",784,0.128,0.129,0.098,0.139,0.133,0.10099999999999999,0.273,100.352,101.136,76.83200000000001,108.97600000000001,104.272,79.184,214.032
74,36047012200,5,0,0,0,5,"Census Tract 122, Kings County, New York",1610,0.313,0.301,0.171,0.135,0.032,0.024,0.024,503.93,484.60999999999996,275.31,217.35000000000002,51.52,38.64,38.64
75,36047012600,1,1,0,0,2,"Census Tract 126, Kings County, New York",895,0.264,0.254,0.14300000000000002,0.13,0.07,0.027000000000000003,0.113,236.28,227.33,127.98500000000001,116.35000000000001,62.650000000000006,24.165000000000003,101.135
76,36047012700,2,0,0,0,1,"Census Tract 127, Kings County, New York",1621,0.322,0.159,0.14300000000000002,0.055999999999999994,0.073,0.034,0.213,521.962,257.739,231.80300000000003,90.776,118.333,55.114000000000004,345.27299999999997
77,36047012801,1,1,0,0,1,"Census Tract 128.01, Kings County, New York",732,0.32899999999999996,0.243,0.18899999999999997,0.098,0.04,0.049,0.052000000000000005,240.82799999999997,177.876,138.34799999999998,71.736,29.28,35.868,38.064
78,36047012901,8,7,1,0,5,"Census Tract 129.01, Kings County, New York",1033,0.106,0.102,0.11800000000000001,0.134,0.095,0.11,0.335,109.49799999999999,105.366,121.894,138.422,98.135,113.63,346.055
79,36047012902,7,20,0,0,5,"Census Tract 129.02, Kings County, New York",832,0.075,0.153,0.063,0.159,0.147,0.067,0.33799999999999997,62.4,127.29599999999999,52.416,132.288,122.30399999999999,55.744,281.21599999999995
80,36047013000,7,8,0,0,3,"Census Tract 130, Kings County, New York",1763,0.20199999999999999,0.212,0.153,0.151,0.062,0.068,0.151,356.126,373.756,269.739,266.21299999999997,109.306,119.88400000000001,266.21299999999997
81,36047013100,5,20,0,0,3,"Census Tract 131, Kings County, New York",1849,0.083,0.13,0.11199999999999999,0.08800000000000001,0.068,0.10099999999999999,0.418,153.467,240.37,207.08799999999997,162.71200000000002,125.73200000000001,186.749,772.882
82,36047013200,1,2,0,0,1,"Census Tract 132, Kings County, New York",656,0.27899999999999997,0.201,0.248,0.063,0.055,0.035,0.11900000000000001,183.02399999999997,131.856,162.688,41.328,36.08,22.96,78.06400000000001
83,36047013300,2,11,2,0,4,"Census Tract 133, Kings County, New York",1841,0.106,0.034,0.064,0.092,0.091,0.076,0.536,195.146,62.594,117.824,169.37199999999999,167.531,139.916,986.7760000000001
84,36047013400,1,5,0,0,3,"Census Tract 134, Kings County, New York",1494,0.201,0.11199999999999999,0.191,0.115,0.106,0.10099999999999999,0.17300000000000001,300.29400000000004,167.32799999999997,285.354,171.81,158.364,150.89399999999998,258.46200000000005
