ID,Geography,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k
36047038800,"Census Tract 388, Kings County, New York",1442,289,286,169,296,140,83,179
36047038900,"Census Tract 389, Kings County, New York",1109,298,216,189,64,146,41,155
36047039000,"Census Tract 390, Kings County, New York",746,189,124,112,79,74,65,103
36047039100,"Census Tract 391, Kings County, New York",1137,407,196,172,177,86,36,63
36047039200,"Census Tract 392, Kings County, New York",999,353,191,180,86,109,32,48
36047039300,"Census Tract 393, Kings County, New York",1341,432,148,263,147,96,72,183
36047039400,"Census Tract 394, Kings County, New York",703,165,179,137,92,26,34,70
36047039500,"Census Tract 395, Kings County, New York",1262,406,257,146,146,122,72,113
36047039600,"Census Tract 396, Kings County, New York",700,170,252,43,68,69,19,79
36047039700,"Census Tract 397, Kings County, New York",1291,451,386,134,51,78,49,142
36047039800,"Census Tract 398, Kings County, New York",858,200,212,95,145,46,58,102
36047039900,"Census Tract 399, Kings County, New York",1417,494,289,236,173,129,47,49
36047040000,"Census Tract 400, Kings County, New York",1085,294,214,245,110,72,21,129
36047040100,"Census Tract 401, Kings County, New York",1164,291,335,264,63,84,64,63
36047040200,"Census Tract 402, Kings County, New York",948,275,181,111,162,65,76,78
36047040300,"Census Tract 403, Kings County, New York",1315,449,285,168,126,81,64,142
36047040400,"Census Tract 404, Kings County, New York",831,218,178,171,65,71,16,112
36047040500,"Census Tract 405, Kings County, New York",600,184,84,156,124,15,0,37
36047040600,"Census Tract 406, Kings County, New York",1157,386,297,165,98,70,42,99
36047040700,"Census Tract 407, Kings County, New York",0,0,0,0,0,0,0,0
36047040800,"Census Tract 408, Kings County, New York",1031,240,182,119,268,85,40,97
36047040900,"Census Tract 409, Kings County, New York",1291,433,246,288,89,135,42,58
36047041000,"Census Tract 410, Kings County, New York",717,230,112,155,57,44,30,89
36047041100,"Census Tract 411, Kings County, New York",1109,480,178,115,141,66,36,93
36047041200,"Census Tract 412, Kings County, New York",997,319,177,142,59,95,15,190
36047041300,"Census Tract 413, Kings County, New York",1350,473,336,158,127,125,63,68
36047041401,"Census Tract 414.01, Kings County, New York",519,116,118,120,25,43,29,68
