ID,Geography,Households,0-25k,25k-50k,50k-75k,75k-100k,100k-125k,125k-150k,> 150k
36047028700,"Census Tract 287, Kings County, New York",1180,0.415,0.240,0.095,0.079,0.079,0.023,0.069
36047028800,"Census Tract 288, Kings County, New York",1177,0.275,0.274,0.028,0.151,0.067,0.042,0.162
36047028900,"Census Tract 289, Kings County, New York",1337,0.307,0.193,0.162,0.159,0.067,0.050,0.063
36047029000,"Census Tract 290, Kings County, New York",1580,0.182,0.323,0.182,0.087,0.066,0.065,0.094
36047029100,"Census Tract 291, Kings County, New York",1111,0.306,0.248,0.082,0.137,0.036,0.066,0.125
36047029200,"Census Tract 292, Kings County, New York",950,0.277,0.276,0.108,0.094,0.096,0.040,0.109
36047029300,"Census Tract 293, Kings County, New York",1349,0.328,0.240,0.097,0.119,0.064,0.056,0.096
36047029400,"Census Tract 294, Kings County, New York",620,0.268,0.223,0.185,0.074,0.171,0.005,0.074
36047029500,"Census Tract 295, Kings County, New York",1622,0.242,0.203,0.108,0.102,0.086,0.080,0.179
36047029600,"Census Tract 296, Kings County, New York",2013,0.224,0.269,0.136,0.132,0.082,0.000,0.157
36047029700,"Census Tract 297, Kings County, New York",1632,0.239,0.187,0.156,0.089,0.105,0.037,0.186
36047029800,"Census Tract 298, Kings County, New York",1326,0.179,0.218,0.219,0.066,0.100,0.084,0.133
36047029900,"Census Tract 299, Kings County, New York",915,0.412,0.275,0.073,0.105,0.083,0.023,0.028
36047030000,"Census Tract 300, Kings County, New York",1312,0.278,0.220,0.131,0.114,0.073,0.061,0.123
36047030100,"Census Tract 301, Kings County, New York",1035,0.329,0.194,0.141,0.112,0.029,0.089,0.105
36047030200,"Census Tract 302, Kings County, New York",1553,0.177,0.290,0.124,0.147,0.090,0.073,0.100
36047030300,"Census Tract 303, Kings County, New York",1768,0.436,0.231,0.119,0.118,0.021,0.018,0.058
36047030400,"Census Tract 304, Kings County, New York",1572,0.303,0.256,0.167,0.087,0.079,0.045,0.063
36047030500,"Census Tract 305, Kings County, New York",2813,0.209,0.146,0.175,0.163,0.084,0.106,0.117
36047030600,"Census Tract 306, Kings County, New York",626,0.291,0.268,0.054,0.139,0.065,0.091,0.091
36047030700,"Census Tract 307, Kings County, New York",2199,0.618,0.188,0.091,0.019,0.058,0.005,0.021
36047030800,"Census Tract 308, Kings County, New York",746,0.216,0.298,0.161,0.121,0.064,0.044,0.097
36047030900,"Census Tract 309, Kings County, New York",752,0.368,0.310,0.122,0.068,0.000,0.072,0.060
